date,holiday
2015-02-02,2
2015-02-03,2
2015-02-04,2
2015-02-05,2
2015-02-06,2
2015-02-07,2
2015-03-30,3
2015-03-31,3
2015-04-01,3
2015-04-02,3
2015-04-03,3
2015-04-04,3
2015-04-05,3
2015-04-06,3
2015-04-07,3
2015-04-08,3
2015-04-09,3
2015-04-10,3
2015-04-11,3
2015-05-15,8
2015-05-26,4
2015-07-16,5
2015-07-17,5
2015-07-18,5
2015-07-19,5
2015-07-20,5
2015-07-21,5
2015-07-22,5
2015-07-23,5
2015-07-24,5
2015-07-25,5
2015-07-26,5
2015-07-27,5
2015-07-28,5
2015-07-29,5
2015-07-30,5
2015-07-31,5
2015-08-01,5
2015-08-02,5
2015-08-03,5
2015-08-04,5
2015-08-05,5
2015-08-06,5
2015-08-07,5
2015-08-08,5
2015-08-09,5
2015-08-10,5
2015-08-11,5
2015-08-12,5
2015-08-13,5
2015-08-14,5
2015-08-15,5
2015-08-16,5
2015-08-17,5
2015-08-18,5
2015-08-19,5
2015-08-20,5
2015-08-21,5
2015-08-22,5
2015-08-23,5
2015-08-24,5
2015-08-25,5
2015-08-26,5
2015-08-27,5
2015-08-28,5
2015-10-19,6
2015-10-20,6
2015-10-21,6
2015-10-22,6
2015-10-23,6
2015-10-24,6
2015-10-25,6
2015-10-26,6
2015-10-27,6
2015-10-28,6
2015-10-29,6
2015-10-30,6
2015-10-31,6
2015-12-23,7
2015-12-24,7
2015-12-25,7
2015-12-26,7
2015-12-27,7
2015-12-28,7
2015-12-29,7
2015-12-30,7
2015-12-31,7
2016-01-01,7
2016-01-02,7
2016-02-01,2
2016-02-02,2
2016-02-03,2
2016-02-04,2
2016-02-05,2
2016-02-06,2
2016-03-21,3
2016-03-22,3
2016-03-23,3
2016-03-24,3
2016-03-25,3
2016-03-26,3
2016-03-27,3
2016-03-28,3
2016-03-29,3
2016-03-30,3
2016-03-31,3
2016-04-01,3
2016-04-02,3
2016-05-06,8
2016-05-17,4
2016-05-18,4
2016-07-21,5
2016-07-22,5
2016-07-23,5
2016-07-24,5
2016-07-25,5
2016-07-26,5
2016-07-27,5
2016-07-28,5
2016-07-29,5
2016-07-30,5
2016-07-31,5
2016-08-01,5
2016-08-02,5
2016-08-03,5
2016-08-04,5
2016-08-05,5
2016-08-06,5
2016-08-07,5
2016-08-08,5
2016-08-09,5
2016-08-10,5
2016-08-11,5
2016-08-12,5
2016-08-13,5
2016-08-14,5
2016-08-15,5
2016-08-16,5
2016-08-17,5
2016-08-18,5
2016-08-19,5
2016-08-20,5
2016-08-21,5
2016-08-22,5
2016-08-23,5
2016-08-24,5
2016-08-25,5
2016-08-26,5
2016-08-27,5
2016-08-28,5
2016-08-29,5
2016-08-30,5
2016-08-31,5
2016-09-01,5
2016-09-02,5
2016-10-17,6
2016-10-18,6
2016-10-19,6
2016-10-20,6
2016-10-21,6
2016-10-22,6
2016-10-23,6
2016-10-24,6
2016-10-25,6
2016-10-26,6
2016-10-27,6
2016-10-28,6
2016-12-23,7
2016-12-24,7
2016-12-25,7
2016-12-26,7
