feature,importance_gain,sequential_mape_gain,k
lag_1,4140980061184.115,0.12431889347006231,1
lag_2,1046159810725.3008,0.11246237546772558,2
grid_load_year_1,241635122578.19336,0.0929592892995682,3
hour_cos,150261650638.49023,0.054461318528685396,4
hour_sin,122069174444.2207,0.056488120501168665,5
lag_23,115463645452.62012,0.05603313959335421,6
lag_24,106718147845.11914,0.055510680292678805,7
lag_3,61783782869.72266,0.05561881748423273,8
hour,52237462600.67578,0.056042209899464124,9
day_of_week,27222553406.60254,0.04553754417095985,10
lag_22,25703605194.74707,0.04592212072198193,11
forecast_solar,12964021181.033203,0.045061478514097995,12
holiday_count,10326651285.300781,0.04163815453008668,13
day_of_week_sin,9199451680.597656,0.04236965516339013,14
lag_96,7925020855.878906,0.04172232082554178,15
lag_4,7070932122.814453,0.04143523916443214,16
lag_12,5873023022.103516,0.04119283376563643,17
grid_load_year_4,5624483086.859375,0.04183482647113714,18
grid_load_year_2,5282667371.7265625,0.042014301104143816,19
lag_6,4626659423.480469,0.04222999051649215,20
lag_7,3992002938.1777344,0.04164131683774442,21
lag_14,3953012653.7958984,0.042098130844092224,22
lag_11,3744992489.2539062,0.04187712231541303,23
lag_72,3223858828.9902344,0.04147474520637409,24
grid_load_year_3,2515244585.9023438,0.04240185736479038,25
lag_13,2500425393.3789062,0.04210072541325665,26
lag_15,2179139749.9003906,0.04224573325352772,27
lag_5,2170768193.6972656,0.04198110404436196,28
lag_48,2129828732.5439453,0.042406202718201155,29
roll_max_168,2128208835.5898438,0.04262223910688623,30
lag_21,1818559587.9179688,0.04296392395585707,31
forecast_wind_offshore,1743373882.7109375,0.04008317030293808,32
week_cos,1592413042.9023438,0.039412190434363926,33
lag_10,1387800216.1230469,0.03898339997670613,34
grid_load_year_5,1345487703.3027344,0.03853623401710314,35
10091_peak_wind_speed,1316971964.2578125,0.03907823572696003,36
lag_17,1281314581.9980469,0.03838562631322903,37
day_of_year,1193753072.8789062,0.03892789675575437,38
lag_16,1087235846.7070312,0.03806266841295772,39
10131_peak_wind_speed,784843833.6816406,0.03774702913912659,40
month_cos,744854077.5058594,0.03759493349648556,41
week_sin,726509895.6132812,0.03787679499164483,42
forecast_wind_onshore,684471507.4003906,0.03751773557341165,43
10488_sunshine_duration,664747715.5039062,0.037109587544851816,44
day_of_week_cos,629872000.5273438,0.03748354311548565,45
lag_9,625564325.7363281,0.03743062268749473,46
grid_load_year_7,601799141.2929688,0.03663225521680951,47
10091_sunshine_duration,595856422.7988281,0.03652096451932831,48
week,593692968.4023438,0.03633107639476817,49
lag_8,542723859.7011719,0.036289683257135524,50
10554_sunshine_duration,509354655.3828125,0.03653690821562092,51
10384_temperature,489279170.7050781,0.03438994417081062,52
lag_19,481625398.4941406,0.03433903643345091,53
forecast_other,479276875.6191406,0.0347562806684161,54
lag_18,452060626.828125,0.0344932262915223,55
10554_temperature,448289741.7871094,0.03484948530693354,56
grid_load_year_6,447280279.953125,0.03403685505174301,57
day_ahead_price,421052621.4902344,0.03372588782506371,58
10384_sunshine_duration,420072468.9921875,0.03422762005924925,59
roll_min_168,415977437.16796875,0.0338737884116286,60
roll_mean_72,410034997.2011719,0.033846220990877536,61
month_sin,404053669.1953125,0.034131938429196367,62
lag_20,387265472.5839844,0.03359445224093561,63
10488_temperature,370473562.515625,0.0335927107516325,64
10091_temperature,345018257.01171875,0.0339686340860976,65
10131_sunshine_duration,335303926.0234375,0.03318440920911261,66
10488_dew_point,320203667.203125,0.033460789021256106,67
10384_snow_depth,306425806.3046875,0.03311951795443901,68
10091_wind_direction,298826943.8925781,0.03218536503534057,69
10554_dew_point,275718186.31640625,0.03214503792203907,70
10131_average_wind_speed,249619995.54101562,0.03202741035788264,71
10384_dew_point,246945065.5234375,0.03195288708773339,72
roll_std_168,238552265.41210938,0.032147311133576606,73
10384_relative_humidity,225742038.81445312,0.0324292640632642,74
school_holiday,221359213.5,0.03183878315651033,75
10131_temperature,213106236.42773438,0.031558224951049346,76
10384_peak_wind_speed,204263302.81640625,0.03199623985512613,77
grid_load_year_8,196499711.09179688,0.03207039535042245,78
10131_dew_point,192517953.77734375,0.0318422690816164,79
10091_dew_point,171778775.0986328,0.032301684252012165,80
month,170785372.70703125,0.031943150597415336,81
10554_peak_wind_speed,162626063.6875,0.032336550915414854,82
10488_peak_wind_speed,146881091.81054688,0.0318371003407242,83
10131_wind_direction,140069735.04492188,0.031570596987057505,84
10488_relative_humidity,137863536.00976562,0.03177963747987357,85
10091_average_wind_speed,134457652.515625,0.03189251213887084,86
10384_average_wind_speed,133974253.36328125,0.03163427427684281,87
10554_average_wind_speed,126461817.6328125,0.032184742253339955,88
10131_average_sea_level_air_pressure,124684454.51757812,0.032128180992612276,89
10091_average_sea_level_air_pressure,122280067.86914062,0.03161034561415188,90
10384_wind_direction,121651067.50390625,0.03143314007022113,91
10488_average_sea_level_air_pressure,121438113.17382812,0.03169821654143881,92
10384_average_sea_level_air_pressure,120734656.70703125,0.03210715277436677,93
10131_snow_depth,115921568.8046875,0.03194494423806924,94
10554_average_sea_level_air_pressure,115206962.21679688,0.0320358121257229,95
10554_relative_humidity,114454982.18359375,0.03185446149450215,96
10384_weather_condition_code,107156038.31640625,0.031796525796689346,97
10131_relative_humidity,106394429.68554688,0.03148789043618438,98
10488_average_wind_speed,103764663.82617188,0.03204703685823306,99
10091_relative_humidity,97284796.15429688,0.03178404496121956,100
10488_wind_direction,93734893.6171875,0.031848221792555864,101
10091_snow_depth,86007475.19921875,0.03148977068273552,102
10554_wind_direction,77001883.59570312,0.03185722120463672,103
10554_snow_depth,74771259.60546875,0.032142924205920353,104
10554_weather_condition_code,74613978.11914062,0.0316881222416893,105
10488_weather_condition_code,59900248.109375,0.03150814449991355,106
10091_weather_condition_code,50480731.515625,0.031288352982383624,107
10488_snow_depth,38383692.7109375,0.031692932752947205,108
10131_weather_condition_code,37761336.5,0.03185368613226233,109
10131_precipitation,32851007.20703125,0.03188891944047288,110
10091_precipitation,30698507.177734375,0.03203197117966869,111
10384_precipitation,23894213.97265625,0.03192364673135171,112
10488_precipitation,12106349.0859375,0.03163952462714773,113
10554_precipitation,9915032.677734375,0.03178192170914427,114
