feature,importance_gain,sequential_mape_gain,k
lag_1,564878912.0,0.12545387490098636,1
lag_2,173156448.0,0.11304360042531303,2
lag_24,107422952.0,0.09310443214259904,3
grid_load_year_1,95348712.0,0.0866928171554596,4
lag_3,93040800.0,0.08672876549947585,5
lag_23,88304952.0,0.0611689888942396,6
hour_cos,51268784.0,0.056059004147478116,7
day_of_week,36462668.0,0.046996383097779725,8
holiday_count,24996338.0,0.044273077821683306,9
hour_sin,23580398.0,0.043051446810235476,10
hour,21652492.0,0.0427086484158295,11
day_of_week_sin,13875707.0,0.043143192856232575,12
lag_96,11101786.0,0.04203141614099956,13
grid_load_year_2,8149722.5,0.042678768864037375,14
grid_load_year_3,7597054.0,0.042991471526745234,15
lag_22,7372230.0,0.04295602340242045,16
lag_72,5894699.5,0.042735912115158765,17
lag_12,5603424.5,0.04292718761434009,18
day_of_week_cos,5363776.0,0.04338102034381504,19
forecast_solar,4475984.0,0.04212443242473909,20
lag_13,4292801.5,0.042118917006543806,21
lag_48,4274400.0,0.041762026748123016,22
lag_5,3823052.25,0.042069580926573834,23
grid_load_year_4,3445076.5,0.04244442882658886,24
lag_7,3141428.5,0.0418170854929573,25
lag_4,2925100.25,0.04228645635218074,26
roll_max_168,2851152.75,0.04303268373954279,27
lag_11,2507283.25,0.04228160554013688,28
lag_6,2205119.75,0.04272582375837435,29
lag_10,1684325.25,0.04269763999857748,30
month_cos,1631117.75,0.04137031515642762,31
10091_peak_wind_speed,1556472.625,0.038962921295966235,32
lag_8,1470099.0,0.03903388993102912,33
lag_16,1401588.75,0.03916572698342561,34
week_cos,1345273.75,0.03820435499986378,35
lag_14,1306702.0,0.03900438603211608,36
10384_snow_depth,1224984.25,0.03752610828678395,37
lag_9,1221097.0,0.03745616084520284,38
10091_sunshine_duration,1186786.625,0.03789560089939741,39
lag_21,1077492.25,0.03827176285309892,40
10131_snow_depth,1010660.9375,0.03776083178713035,41
lag_15,997997.125,0.03765477488775171,42
10488_sunshine_duration,978303.75,0.03776885313442985,43
forecast_wind_offshore,958426.875,0.036633461710278245,44
10554_sunshine_duration,813855.25,0.03789369580300072,45
lag_17,743078.8125,0.03754037816630284,46
10384_sunshine_duration,732784.9375,0.03689709931515557,47
day_of_year,718629.9375,0.036934943610574686,48
week,704641.0625,0.03691446502728607,49
10384_temperature,698995.0625,0.035546260295022815,50
grid_load_year_5,687329.0625,0.03433936441035957,51
10131_peak_wind_speed,674569.8125,0.033690202443356375,52
month,657051.375,0.03368203463459234,53
month_sin,648964.4375,0.03346977110721638,54
roll_mean_72,619818.375,0.03353139818716062,55
10091_snow_depth,612379.3125,0.03384228570922289,56
lag_20,601887.4375,0.03405789968762427,57
grid_load_year_6,592576.0,0.03304605204588347,58
forecast_wind_onshore,574014.8125,0.03350151881147672,59
10131_sunshine_duration,568583.1875,0.03323649675052381,60
grid_load_year_7,557932.9375,0.03352385123321233,61
week_sin,549207.375,0.033262496414964766,62
lag_19,548608.3125,0.033274200323690245,63
lag_18,536315.375,0.03341888869090133,64
10488_dew_point,448876.8125,0.03269151754451365,65
10091_wind_direction,440825.15625,0.03280918551714664,66
roll_min_168,425896.9375,0.032467071368815985,67
10488_temperature,424229.375,0.032058523134040166,68
school_holiday,408415.96875,0.031929852066539414,69
10554_temperature,407509.875,0.032715009134956514,70
10554_snow_depth,397048.84375,0.03194820898159125,71
10091_temperature,392447.53125,0.03222397199883463,72
forecast_other,381393.5,0.03209231581215907,73
10554_dew_point,375551.59375,0.03198041042733115,74
10091_dew_point,362748.1875,0.03214686477975738,75
10131_weather_condition_code,343677.03125,0.03210958566972947,76
10384_dew_point,337489.3125,0.03151242257064417,77
10384_relative_humidity,331472.125,0.03173170404147339,78
10131_dew_point,311972.0625,0.03181522868702769,79
10131_temperature,286863.78125,0.03214539949531477,80
10488_snow_depth,272391.125,0.03209969811813008,81
10131_average_wind_speed,271681.0625,0.03224467515014573,82
10091_average_wind_speed,265383.9375,0.03181967545840295,83
10384_weather_condition_code,260072.75,0.03218447355094708,84
day_ahead_price,258716.390625,0.03152450934242718,85
grid_load_year_8,248237.984375,0.03135569558967913,86
10384_peak_wind_speed,227570.765625,0.031688971505789025,87
10384_wind_direction,217043.453125,0.031130539935335138,88
10131_wind_direction,213812.0,0.031107781624323476,89
10488_average_sea_level_air_pressure,209057.671875,0.03154544527855487,90
10554_average_sea_level_air_pressure,208349.46875,0.03093001844679343,91
roll_std_168,203924.09375,0.03160166635608767,92
10384_precipitation,200294.78125,0.03147854350662609,93
10384_average_sea_level_air_pressure,198583.671875,0.03140352151645155,94
10488_relative_humidity,197386.1875,0.03147459465317561,95
10554_wind_direction,194727.640625,0.03139397844995067,96
10488_peak_wind_speed,192092.5,0.031176601113425854,97
10488_average_wind_speed,188467.578125,0.031503974564122156,98
10488_precipitation,187957.65625,0.03146947855654541,99
10131_average_sea_level_air_pressure,187947.203125,0.031646385075765227,100
10091_average_sea_level_air_pressure,183355.640625,0.031113871339908727,101
10554_relative_humidity,181956.328125,0.03149913968900966,102
10131_precipitation,181841.828125,0.03142473619495625,103
10554_average_wind_speed,181203.640625,0.03103743497033119,104
10554_peak_wind_speed,180636.53125,0.031276273237137386,105
10488_wind_direction,179314.875,0.0312650230131194,106
10091_relative_humidity,174841.625,0.03139130312484729,107
10488_weather_condition_code,172641.078125,0.03151513240997416,108
10384_average_wind_speed,171884.9375,0.03137311816566824,109
10554_weather_condition_code,170586.5,0.031462160036157705,110
10131_relative_humidity,165357.203125,0.031564448435098744,111
10091_weather_condition_code,161050.09375,0.031149690269188905,112
10091_precipitation,150925.84375,0.03123126555268926,113
10554_precipitation,135779.71875,0.03141576121941452,114
