feature,importance_split,sequential_mape_split,k
lag_1,4031,0.11421012248504889,1
hour_sin,2350,0.07944737711693761,2
hour_cos,1257,0.1000977369682107,3
lag_2,1161,0.08125247532842575,4
hour,1061,0.08215661133293203,5
forecast_solar,542,0.07800389375289055,6
day_of_week,412,0.06340214459776385,7
lag_23,395,0.05670643523052448,8
lag_3,306,0.06139981191052385,9
lag_26,183,0.06217174505630132,10
grid_load_year_1,171,0.05723928075740101,11
lag_24,163,0.05766744502877771,12
lag_27,149,0.05946984932434372,13
lag_71,143,0.05874674194270259,14
lag_28,134,0.05739732811508016,15
day_of_week_sin,130,0.05662739268020002,16
holiday_count,130,0.055011255613063595,17
lag_6,105,0.05775922882508363,18
lag_29,96,0.0559417868997922,19
lag_16,87,0.05582056757074679,20
lag_72,80,0.05736531644391864,21
lag_11,79,0.05608253367175691,22
week_cos,79,0.055913738215352324,23
lag_22,75,0.05607579044528869,24
lag_4,75,0.05816341617260694,25
roll_max_168,64,0.05529540626128343,26
lag_7,58,0.05706015862360084,27
forecast_wind_offshore,54,0.05649827027793413,28
lag_9,51,0.056478412960024836,29
lag_30,50,0.057680909705536715,30
grid_load_year_3,48,0.05428798483270219,31
grid_load_year_4,48,0.05489380099719844,32
lag_10,44,0.05710272136838989,33
lag_12,44,0.055512874284303355,34
lag_5,42,0.056931811275740166,35
grid_load_year_2,36,0.05624626461479451,36
lag_48,34,0.05588622568517343,37
lag_70,33,0.05592440936934809,38
lag_8,33,0.056317054461349554,39
10091_peak_wind_speed,32,0.05467679771861645,40
month_cos,31,0.057467432012840935,41
lag_47,31,0.05650061530412658,42
grid_load_year_5,30,0.05463096429157564,43
lag_13,28,0.05501093544613224,44
lag_15,27,0.055551752899912654,45
lag_50,27,0.05628671138137937,46
day_of_year,26,0.05411447191074673,47
week_sin,22,0.05493561080942754,48
lag_54,21,0.05623113216979717,49
lag_35,20,0.05522346044881368,50
lag_17,18,0.05422069281359719,51
lag_53,17,0.05370221132440511,52
10091_sunshine_duration,17,0.05612062276002341,53
lag_21,16,0.056375166855164506,54
lag_52,15,0.055836046967462596,55
lag_49,15,0.05410626696840113,56
10488_temperature,15,0.05595575441102171,57
lag_32,14,0.055510187136262705,58
day_of_week_cos,13,0.054358379721974534,59
lag_19,13,0.05531807704329792,60
lag_25,12,0.05551241423823013,61
lag_43,11,0.05408010767671252,62
lag_60,11,0.05499436784426535,63
lag_31,11,0.05547871506090014,64
lag_20,10,0.05588881949181472,65
10554_temperature,10,0.05585854445656996,66
lag_34,10,0.05540105341074851,67
lag_55,10,0.05603925695542579,68
lag_45,10,0.055869628971241043,69
lag_33,9,0.054968689898769484,70
lag_68,9,0.054782753512133846,71
lag_51,9,0.05541821759548167,72
10488_dew_point,9,0.05568802125337496,73
lag_46,9,0.055295717540581456,74
