feature,importance_split,sequential_mape_split,k
lag_1,1798.0,0.12604499630250057,1
lag_2,1149.0,0.11004490969158777,2
hour_sin,1048.0,0.06930004699149404,3
lag_23,748.0,0.06515521914951453,4
forecast_solar,646.0,0.06394528167877073,5
forecast_wind_offshore,637.0,0.06215261361288211,6
hour,623.0,0.0617734833462065,7
lag_24,542.0,0.06281085231813685,8
forecast_other,532.0,0.06254774086365895,9
day_ahead_price,526.0,0.06163805100209174,10
10131_peak_wind_speed,519.0,0.0612350233670808,11
10091_peak_wind_speed,501.0,0.05908447011727252,12
forecast_wind_onshore,460.0,0.05931041643957712,13
roll_std_168,460.0,0.0596027098184487,14
10384_peak_wind_speed,427.0,0.060852049514194394,15
lag_3,426.0,0.0614925933051921,16
roll_max_168,425.0,0.05787687688194435,17
hour_cos,405.0,0.057783418371800566,18
roll_min_168,395.0,0.05872357448156983,19
day_of_year,389.0,0.057664733899413685,20
day_of_week,387.0,0.040556448725304214,21
10554_peak_wind_speed,378.0,0.03931796126674695,22
lag_4,348.0,0.03957978709174727,23
10488_peak_wind_speed,346.0,0.03984099194681837,24
lag_22,334.0,0.03946657129878057,25
lag_16,329.0,0.04006149997810107,26
10384_average_wind_speed,322.0,0.03947501138322357,27
10554_average_wind_speed,322.0,0.0404372982202071,28
lag_5,318.0,0.03984235034235027,29
lag_6,315.0,0.041079219294981574,30
week_sin,315.0,0.04001227024763404,31
roll_mean_72,298.0,0.040757285694460126,32
10131_average_sea_level_air_pressure,297.0,0.039980430616662566,33
lag_19,296.0,0.04004938366352106,34
lag_7,295.0,0.040119347786533185,35
lag_11,290.0,0.04028460034746405,36
10131_average_wind_speed,287.0,0.040709491802178824,37
lag_15,285.0,0.03954659329192933,38
lag_14,283.0,0.04074590765800472,39
lag_12,280.0,0.04077113237733824,40
lag_13,280.0,0.040718778911624114,41
10091_relative_humidity,275.0,0.04062843194275004,42
lag_17,274.0,0.0403145578490001,43
lag_9,274.0,0.04081788728440112,44
10384_dew_point,266.0,0.03974625525894116,45
10554_relative_humidity,265.0,0.04087138256458479,46
10091_temperature,264.0,0.038590320132125946,47
lag_20,259.0,0.039008052996950746,48
10091_average_wind_speed,255.0,0.038769067987494986,49
lag_18,254.0,0.0383423018477553,50
10488_temperature,254.0,0.038502237414432136,51
lag_8,253.0,0.03810959461166879,52
lag_21,251.0,0.03853310150827184,53
10384_average_sea_level_air_pressure,250.0,0.03869129039690788,54
10091_average_sea_level_air_pressure,247.0,0.037691882554791833,55
10384_temperature,246.0,0.038270026475578804,56
lag_10,240.0,0.0385709224940031,57
10488_average_wind_speed,237.0,0.03914445797209501,58
10091_wind_direction,236.0,0.03851924698856599,59
10384_relative_humidity,235.0,0.03875329051279225,60
10488_relative_humidity,232.0,0.038509842758879226,61
10091_dew_point,226.0,0.039032058013224,62
10554_dew_point,225.0,0.03919813944630599,63
10554_temperature,214.0,0.03799433223598195,64
10554_average_sea_level_air_pressure,208.0,0.03900869973246111,65
10131_dew_point,207.0,0.03866788279634544,66
10131_relative_humidity,206.0,0.03875428448928311,67
10488_dew_point,204.0,0.03887554374149679,68
10131_temperature,199.0,0.03875242684654101,69
10384_weather_condition_code,198.0,0.039516013019785905,70
week_cos,190.0,0.03850696562077337,71
10488_average_sea_level_air_pressure,183.0,0.03906309037337872,72
10384_wind_direction,182.0,0.03882150918308173,73
10131_wind_direction,174.0,0.03830299195640904,74
10488_wind_direction,156.0,0.03897011058165734,75
10554_weather_condition_code,146.0,0.03807791478359713,76
10384_sunshine_duration,141.0,0.03946099489384469,77
10554_wind_direction,140.0,0.039255724061024934,78
day_of_week_cos,138.0,0.03937825058378286,79
10554_sunshine_duration,137.0,0.04075774942136536,80
day_of_week_sin,136.0,0.0392993698518674,81
week,135.0,0.04018226334246717,82
holiday_count,132.0,0.036282079755757195,83
10091_precipitation,129.0,0.03587415808774626,84
10131_sunshine_duration,127.0,0.03515936283529427,85
10488_sunshine_duration,126.0,0.03571046454281429,86
10131_precipitation,126.0,0.0347122075139903,87
10488_weather_condition_code,125.0,0.03537663463330152,88
10384_snow_depth,118.0,0.033291732599566394,89
10091_sunshine_duration,117.0,0.033044124747501055,90
10091_weather_condition_code,112.0,0.033588837854566594,91
10384_precipitation,108.0,0.03329865047494536,92
school_holiday,106.0,0.03358102885082403,93
10131_weather_condition_code,106.0,0.032945910285095595,94
10488_snow_depth,90.0,0.033367530942878254,95
10554_precipitation,81.0,0.03274162232251578,96
month_sin,79.0,0.033418456516052214,97
month_cos,77.0,0.03386204084347082,98
10488_precipitation,76.0,0.03383684456770231,99
10554_snow_depth,53.0,0.03275612447090325,100
10091_snow_depth,48.0,0.0328020018460431,101
month,45.0,0.033014570479833874,102
10131_snow_depth,25.0,0.03279596006912701,103
